ID_W,WAVE OF SURVEY=YEAR
J345,BY WHAT PERCENT WOULD YOU BE WILLING TO REDUCE YOUR PERSONAL INC TO GAIN 2 M HOURS TO SPEND ON FAMILY AND HOME?
J346,ARE YOU WILLING TO REDUCE THE TIME SPENT ON REST AND LEISURE TO LEAVE MORE TIM FOR FAMILY AND HOME?
J347,DO YOU THINK THAT AT THE PRESENT TIME TO STUDY AND SELF YOU SPEND:
J348,WOULD YOU LIKE TO SPEND MORE TIME ON STUDYING AND SELF-EDUCATION?
J349,WHY ARE NOT YOU READY TO SPEND MORE TIME ON STUDYING AND SELF-EDUCATION?
J350,ARE YOU READY TO ACCEPT A REDUCTION IN YOUR PERSONAL INC LEV TO GET MORE TIME STUDYING AND SELF-EDUCATION?
J351,BY WHAT PERCENT WOULD YOU AGREE TO REDUCE YOUR PERSONAL INC LEV TO HAVE 2 MO HOURS FOR STUDYING AND SELF-EDUCATION?
J352,"DO YOU THINK, NOW ON VACATION, FAVORITE ACTIVITIES, YOU SPEND:"
J353,WOULD YOU LIKE TO SPEND MORE TIME ON REST AND FAVOURITE ACTIVITIES?
J354,WHY ARE NOT YOU READY TO SPEND MORE TIME ON REST AND FAVOURITE ACTIVITIES?
J355,ARE YOU READY TO ACCEPT A REDUCTION IN YOUR PERSONAL INC LEV TO GET MORE TIME F REST AND FAVORITE ACTIVITIES?
J356,BY WHAT PERCENT WOULD YOU BE WILLING TO REDUCE YOUR PERSONAL INC LEV TO LEAVE MORE HOURS FOR REST AND FAVOURITE ACTIVITIES?
J408.1,"IN YOUR OPINION, HOW SHARP ISSUE IS THE PROBLEM OF GETTING HEALTHCARE SERVICE F POPULATION OF RUSSIA?"
J408.2,"IN YOUR OPINION, HOW SHARP ISSUE IS THE PROBLEM OF LOW QUALITY OF HEALTHCARE SERVICE FOR POPULATION OF RUSSIA?"
J408.3,"IN YOUR OPINION, HOW SHARP ISSUE IS THE ISSUE OF SETTING CHILDREN IN DAY NURSER OR KINDERGARTEN FOR POPULATION OF RUSSIA?"
J408.4,"IN YOUR OPINION, HOW SHARP ISSUE IS THE LOW QUALITY OF SCHOOL EDUCATION FOR POPULATION OF RUSSIA?"
J408.5,"IN YOUR OPINION, HOW SHARP ISSUE IS THE PROBLEM OF GETTING SECONDARY AND SECONDARY PROFESSIONAL EDUCATION FOR POPULATION OF RUSSIA?"
J408.6,"IN YOUR OPINION, HOW SHARP ISSUE IS THE LOW QUALITY OF SECONDARY AND SECONDAR PROFESSIONAL EDUCATION FOR POPULATION OF RUSSIA?"
J408.7,"IN YOUR OPINION, HOW SHARP ISSUE IS THE LACK OF ACCESS TO LEISURE AND RECREATIO SERVICES FOR POPULATION OF RUSSIA?"
J408.8,"IN YOUR OPINION, HOW SHARP ISSUE IS THE ABSENCE OF PERSONAL SECURITY FOR POPULATION OF RUSSIA?"
J408.9,"IN YOUR OPINION, HOW SHARP ISSUE IS THE ENVIRONMENTAL POLLUTION FOR POPULATION RUSSIA?"
J408.10,"IN YOUR OPINION, HOW SHARP ISSUE IS THE LOW QUALITY OR ABSENCE OF HOUSING AND COMMUNAL SERVICES FOR POPULATION OF RUSSIA?"
J408.11,"IN YOUR OPINION, HOW SHARP ISSUE IS THE HIGH PRICES FOR HOUSING AND COMMUNAL SERVICES FOR POPULATION OF RUSSIA?"
J408.12,"IN YOUR OPINION, HOW SHARP ISSUE IS THE LOW STANDARD OF LIVING FOR POPULATION RUSSIA?"
J408.13,"IN YOUR OPINION, HOW SHARP ISSUE IS THE TOO BIG DIFFERENCE BETWEEN LIVINGS STANDARDS OF RICH AND POOR FOR POPULATION OF RUSSIA?"
J408.14,"IN YOUR OPINION, HOW SHARP ISSUE IS THE PROBLEM OF CORRUPTION FOR POPULATION O RUSSIA?"
J410,"HOW DO YOU THINK, POWER IN RUSSIA SHOULD BECOME MORE DEMOCRATIC, REMAIN THE SAME, OR POWER IN RUSSIA SHOULD TIGHTEN SUPERVISION OVER POLITICS? CHOOSE A NUMBER FROM 1 TO 11"
LL,"THERE IS A BLOCK ""MEDICINE"""
L1,UNDERSTANDS MEDICAL INSURANCE?
L2,HAS MEDICAL INSURANCE?
L2.1,HAS COMPULSORY MEDICAL INS.?
L2.2,HAS SUPPLEMENTARY MEDICAL INS.?
L3.1,INS. PREMIUM PAID BY SELF?
L3.2,INS. PREMIUM PAID BY ENTERPRISE?
L3.3,INS. PREMIUM PAID BY GOVERNMENT?
L3.4,INS. PREMIUM PAID BY ANOTHER?
L3.1.1,SUPP. INS. PAID BY SELF?
L3.1.1B,AMOUNT--SUPP. INS. PAID BY SELF?
L3.1.2,SUPP. INS. PAID BY ENTERPRISE?
L3.1.2B,AMOUNT--SUPP. INS. PAID BY ENTERPRISE?
L3.1.4,SUPP. INS. PAID BY OTHERS?
L3.1.4B,AMOUNT--SUPP. INS. PAID BY OTHERS?
L4,AMOUNT MED. INS. MONTHLY PREMIUM
L4.1,AMOUNT--ANNUAL COST OF MEDICAL SERVICE
L4.2,COST OF SUPP. INSURANCE PER YEAR
L82.1,WHY HAVE YOU NOT GOT A CONTRACT ON VOLUNTARY MEDICAL INSURANCE? - THE FIRST REASON
L82.2,WHY HAVE YOU NOT GOT A CONTRACT ON VOLUNTARY MEDICAL INSURANCE? - THE SECOND REASON
L5.0,FREQ. OF DOCTOR VISITS PER YEAR
L5.A,HOW MANY TIMES DID YOU OR SOMEBODY FOR YOU CALL AMBULANCE DURING L 12 M?
L83,"HOW MANY TIMES YOU CALLED ""AMBULANCE"" IN THE PAST 12 MONTHS?"
L84,"HOW MANY TIMES PAY MONEY OR MADE PRESENTS TO EMPLOYEES OF ""AMBULANCE"" IN THE LAST 12 MONTHS?"
L841.1A,"PAY FOR THE CALL ""AMBULANCE"" OFFICIALLY IN THE PAST 12 MONTHS"
L841.1B,"PAY FOR CALLS ""AMBULANCE"" OFFICIALLY IN THE PAST 12 MONTHS - RUBLES"
L841.2A,"PAY FOR THE CALLS ""AMBULANCE"" UNOFFICIALLY IN THE LAST 12 MONTHS"
L841.2B,"PAY FOR CALLS ""AMBULANCE"" INFORMALLY IN HAND IN THE LAST 12 MONTHS - RUBLES"
L841.3A,"PAY FOR THE CALLS ""AMBULANCE"" UNOFFICIALLY, TO HAND GIFTS IN THE PAST 12 MONTHS"
L841.3B,"PAY FOR CALLS ""AMBULANCE"" INFORMALLY, HANDS GIFTS IN THE PAST 12 MONTHS - RUBLE"
L85,WHY YOU PAID TO EMPLOYEES OF MBULANCE
L86.1,LAST TIME YOU PAID FOR MEDICINE AND BANDAGING MATERIAL
L86.2,LAST TIME YOU PAID FOR AID
L86.3,LAST TIME YOU PAID FOR TAKING TO GOOD HOSPITAL
L86.4,LAST TIME YOU PAID FOR OTHER
L87,HOW MUCH DID YOU PAY TO EMPLOYEES OF MBULANCELAST TIME
L5,ANY HEALTH PROBLEMS IN LAST 30 DAYS?
L5.1,MINOR HEALTH PROBLEM L30D?
L7,TREATED BY HEALTH WORKER OR SELF
L58,ADDRESS HEALTH PROBLEMS L12M
L59.1,STATE POLYCLINIC--APPLIED FOR OUT-PATIENT CARE
L59.2,COMMERCIAL POLYCLINIC--APPLIED FOR OUT-PATIENT CARE
L59.3,STATE HOSPITAL--APPLIED FOR OUT-PATIENT CARE
L59.4,COMMERCIAL HOSPITAL--APPLIED FOR OUT-PATIENT CARE
L59.5,PRIVATE PHYSICIAN--APPLIED FOR OUT-PATIENT CARE
L88.1A,PAID OFFICIALLY FOR OUTPATIENT NOT STOMATOLOGICAL ASSISTANCE  IN THE LAST 30 DA
L88.1B,PAID OFFICIALLY IN RUBLES
L88.2A,PAID UNOFFICIALLY FOR OUTPATIENT NOT STOMATOLOGICAL ASSISTANCE IN THE LAST 30 DAYS
L88.2B,PAID UNOFFICIALLY IN RUBLES
L88.3A,"PAID UNOFFICIALLY, IN THE HANDS FOR OUTPATIENT NOT STOMATOLOGICAL ASSISTANCE I THE LAST 30 DAYS"
L88.3B,"PAID UNOFFICIALLY, IN THE HANDS IN RUBLES"
L128,PAID FOR LAST MEDICAL VISIT LAST 30 DAYS EXCEPT DANTAL CARE?
L60.1A,PAID OFFICIALLY FOR OUT-PATIENT CARE L30D
L60.1B,PAID OFFICIALLY FOR OUT-PATIENT CARE L30D--AMOUNT
L60.2A,PAID UNOFFICIALLY FOR OUT-PATIENT CARE L30D
L60.2B,PAID UNOFFICIALLY FOR OUT-PATIENT CARE L30D--AMOUNT
L60.3A,GIFTS FOR CARE L30D
L60.3B,GIFTS FOR CARE L30D--AMOUNT
L8,DOCTOR TO HOUSE OR OFFICE VISIT
L9,TYPE OF MED. FACILITY TO SEE DOCTOR
L10A,HOURS TRAVEL TO MEDICAL FACILITY
L10B,MINUTES TRAVEL TO MEDICAL FACILITY
L11,MEDICAL FACILITY TRAVEL COST MONEY?
L12,AMOUNT MEDICAL FACILITY TRAVEL COS
L13,WAITED AT MEDICAL FACILITY?
L14A,HOURS WAITED AT MEDICAL FACILITY
L14B,MINUTES WAITED AT MEDICAL FACILITY
L15,PAID FOR MEDICAL VISIT?
L16,AMOUNT PAID FOR MEDICAL VISIT
L161.1A,PAID CASHIER FOR MED. VISIT?
L161.1B,AMT PAID CASHIER MED. VISIT
L161.2A,PAID PERSONL FOR MED. VISIT?
L161.2B,AMT PAID PERSONL MED. VISIT
L17,ADDITIONAL TESTS_PROCEDURES?
L18,PAID FOR ADD. TESTS_PROCEDURES?
L80.1A,PAID OFFICIALLY?
L80.1B,PAID OFFICIALLY--AMOUNT
L80.2A,PAID UNOFFICIALLY THROUGH HAND-TO-HAND MONETARY TRANSACTIONS?
L80.2B,PAID UNOFFICIALLY--AMOUNT
L80.3A,PAID UNOFFICIALLY THROUGH GIFT-GIVING?
L80.3B,PAID UNOFFICIALLY THROUGH GIFT-GIVING--AMOUNT
L19,COST OF ADD. TESTS_PROCEDURES
L191.1A,PAID CASHIER FOR MED. TESTS?
L191.1B,AMT PAID CASHIER MED. TESTS
L191.2A,PAID PERSONL FOR MED. TESTS?
L191.2B,AMT PAID PERSONL MED. TESTS
L22,TYPE OF HOSPITAL MOST RECENTLY
L24,"PAY FOR THE STAY IN THE HOSPITAL, MEDICAL CARE, TREATMENT, AND MEDICINE?"
L242.1A,PAID CASHIER FOR HOSPITAL?
L242.1B,AMT PAID CASHIER HOSPITAL
L242.2A,PAID PERSONL FOR HOSPITAL?
L242.2B,AMT PAID PERSONL HOSPITAL
L25,AMOUNT PAID FOR HOSPITAL LAST 3M
L252.1A,PAID CASHIER FOR MEDICINE?
L252.1B,AMT PAID CASHIER MEDICINE
L252.2A,PAID PERSONL FOR MEDICINE?
L252.2B,AMT PAID PERSONL MEDICINE
L252.3A,PAID DRSTORE FOR MEDICINE?
L252.3B,AMT PAID DRSTORE MEDICINE
L26.1,MEDICAL CHECK-UP IN LAST 12M?
L27,CHECK-UP PERFORMED BY
L28,TYPE OF MED. FACILITY FOR CHECK-UP
L28.1,MED. FACILITY FOR CHECK-UP #1
L28.2,MED. FACILITY FOR CHECK-UP #2
L28.3,MED. FACILITY FOR CHECK-UP #3
L29,PAID FOR MEDICAL CHECK-UP?
L30,AMOUNT PAID FOR MEDICAL CHECK-UP
L301.1A,PAID CASHIER FOR CHECK-UP?
L301.1B,AMT PAID CASHIER CHECK-UP
L301.2A,PAID PERSONL FOR CHECK-UP?
L301.2B,AMT PAID PERSONL CHECK-UP
L33,MEDICINE PRESCRIBED LAST 30 DAYS?
L34,COULD FIND OR BUY MEDICINE?
L35.1,MEDICINE AT DOCTOR`S OFFICE?
L35.2,MEDICINE IN STATE PHARMACY?
L35.3,MEDICINE IN PRIVATE PHARMACY?
L35.4,MEDICINE FROM INDIVIDUALS?
L35.5,MEDICINE IN ANOTHER PLACE?
L36,ENTITLED TO DISCOUNT ON MEDICINE?
L37,PERCENT DISCOUNT ON MEDICINE
L38,PAID FOR MEDICINE?
L39,AMOUNT PAID FOR MEDICINE
L40,UNABLE TO FIND_BUY SOME MEDICINE?
L41.0,TOTAL COST OF MEDICINE NOT BOUGHT
L41.1,NO MEDICINE--NO TIME?
L41.2,NO MEDICINE--NOT IN PHARMACY?
L41.3,NO MEDICINE--NO MONEY?
L41.4,NO MEDICINE--DID NOT WANT TO BUY?
L41.5,NO MEDICINE--COULD NOT BUY?
L411,DISCOUNT ON MEDICINE NOT FOUND?
L412,PERCENT DISCOUNT ON MEDICINE
L42,EVER VACCINATED?
L43.1,EVER VACCINATED--TUBERCULOSIS?
L43.2,EVER VACCINATED--MEASLES?
L43.3,EVER VACCINATED--AKDS_ADS1?
L43.4,EVER VACCINATED--AKDS_ADS2?
L43.5,EVER VACCINATED--AKDS_ADS3?
L43.6,EVER VACCINATED--POLIO 1?
L43.7,EVER VACCINATED--POLIO 2?
L43.8,EVER VACCINATED--POLIO 3?
L43.9,EVER VACCINATED--HEPATITIS?
L43.10,EVER VACCINATED--MUMPS?
L43.12,EVER VACCINATED--MENINGITIS?
L43.11,EVER VACCINATED--OTHER?
L44,VACCINATED IN LAST THREE MONTHS?
L45.1,VACCINATED L3M--TUBERCULOSIS?
L45.2,VACCINATED L3M--MEASLES?
L45.3,VACCINATED L3M--AKDS_ADS1?
L45.4,VACCINATED L3M--AKDS_ADS2?
L45.5,VACCINATED L3M--AKDS_ADS3?
L45.6,VACCINATED L3M--POLIO 1?
L45.7,VACCINATED L3M--POLIO 2?
L45.8,VACCINATED L3M--POLIO 3?
L45.9,VACCINATED L3M--HEPATITIS?
L45.10,VACCINATED L3M--MUMPS?
L45.12,VACCINATED L3M--MENINGITIS?
L45.13,VACCINATED L3M--GRIPPE?
L45.11,VACCINATED L3M--OTHER?
L46.1,VACCINATED--IN POLYCLINIC?
L46.2,VACCINATED--IN HOSPITAL?
L46.3,VACCINATED--IN CHILD`S HOSP.?
L46.4,VACCINATED--IN DR`S OFFICE?
L46.5,VACCINATED--AT SCHOOL?
L46.6,VACCINATED--AT KINDERGARTEN?
L46.7,VACCINATED--ELSEWHERE?
L47,PAID FOR CHILD`S VACCINATIONS?
L48,COST OF VACCINATIONS
L49,COULD NOT GET VACCINATIONS?
L50,WHY NO VACCINATIONS
L51.1,BOUGHT MED. REC. BY PHARMACY L30D
L51.2,BOUGHT MED. REC. BY FRIENDS L30D
L51.3,BOUGHT MED. REC. BY TV ADS L30D
L51.3A,BOUGHT MED. REC. BY RADIO AD L30D
L51.4,BOUGHT MED. REC. BY NEWS_BKS L30D
L52,AMOUNT PAID FOR NON-PRES. MED. L30D
L55,HAVE TO ECONOMIZE ON HEALTH?
L56.1,HEALTH--MUST NOT ECONOMIZE
L56.2,HEALTH--MUST NOT CARE TOO MUCH
L57,SKIP ANY VACCINATION?
L57.1,CH. HEALTH--MUST NOT ECONOMIZE
L57.2,CH. HEALTH--MUST NOT CARE TOO MUCH
L61.1,HEALTH WORKER SUGGESTED TO PAY UNOFFICIALLY--OUT-PATIENT CARE
L61.2,ANOTHER WORKER SUGGESTED TO PAY UNOFFICIALLY--OUT-PATIENT CARE
L61.3,OTHER PATIENTS SUGGESTED TO PAY UNOFFICIALLY--OUT-PATIENT CARE
L61.4,FRIENDS SUGGESTED TO PAY UNOFFICIALLY--OUT-PATIENT CARE
L61.5,NOBODY SUGGESTED TO PAY UNOFFICIALLY--OUT-PATIENT CARE
L61.6,OTHER SUGGESTED TO PAY UNOFFICIALLY--OUT-PATIENT CARE
L62.1,ANOTHER WAY WAS DIFFICULT--PAID UNOFFICIALLY--OUT-PATIENT
L62.2,DIFFICULT TO GET DOCTOR--PAID UNOFFICIALLY--OUT-PATIENT
L62.3,CAN NOT GET NECESSARY SERVICE--PAID UNOFFICIALLY--OUT-PATIENT
L62.4,NEED TO WAIT A LONG--PAID UNOFFICIALLY--OUT-PATIENT
L62.5,EXPECTED BETTER QUALITY--PAID UNOFFICIALLY--OUT-PATIENT
L62.6,WANTED TO THANK--PAID UNOFFICIALLY--OUT-PATIENT
L62.7,OTHER REASON--PAID UNOFFICIALLY--OUT-PATIENT
L63,PAID BEFORE OR AFTER SERVICE?--OUT-PATIENT
L64,WHEN DID FIND OUT ABOUT THE AMOUNT--OUT-PATIENT
L23,DAYS IN HOSPITAL IN LAST 3 MONTHS
L68.1,HOSPITALIZED IN STATE HOSPITAL L3M
L68.2,HOSPITALIZED IN AN INSTITUTIONAL HOSPITAL L3M
L68.3,HOSPITALIZED IN A COMMERCIAL HOSPITAL L3M
L25.1,R PAID FOR MEDICINE WHOLE_PART
L69.1A,PAID OFFICIALLY FOR MEDICINES L3M
L69.1B,PAID OFFICIALLY FOR MEDICINES L3M--AMOUNT
L69.2A,PAID UNOFFICIALLY FOR MEDICINES L3M
L69.2B,PAID UNOFFICIALLY FOR MEDICINES L3M--AMOUNT
L69.3A,SOMEBODY BOUGHT MEDICINE L3M
L69.3B,SOMEBODY BOUGHT MEDICINE L3M--AMOUNT
L24.1,PAID FOR HOSPITAL_MED. CARE?
L70.1A,PAID OFFICIALLY FOR STAYING IN HOSPITAL L3M
L70.1B,PAID OFFICIALLY FOR STAYING IN HOSPITAL L3M--AMOUNT
L70.2A,PAID UNOFFICIALLY FOR STAYING IN HOSPITAL L3M
L70.2B,PAID UNOFFICIALLY FOR STAYING IN HOSPITAL L3M--AMOUNT
L70.3A,GIFTS FOR STAYING IN HOSPITAL L3M
L70.3B,GIFTS FOR STAYING IN HOSPITAL L3M--AMOUNT
L71.1,HEALTH WORKER SUGGESTED TO PAY UNOFFICIALLY--IN HOSPITAL
L71.2,ANOTHER WORKER SUGGESTED TO PAY UNOFFICIALLY--IN HOSPITAL
L71.3,OTHER PATIENTS SUGGESTED TO PAY UNOFFICIALLY--IN HOSPITAL
L71.4,FRIENDS SUGGESTED TO PAY UNOFFICIALLY--IN HOSPITAL
L71.5,NOBODY SUGGESTED TO PAY UNOFFICIALLY--IN HOSPITAL
L71.6,OTHER SUGGESTED TO PAY UNOFFICIALLY--IN HOSPITAL
L72.1,DIFFICULT TO GET DOCTOR--PAID UNOFFICIALLY--IN HOSPITAL
L72.2,CAN NOT GET NECESSARY SERVICE--PAID UNOFFICIALLY--IN HOSPITAL
L72.3,NEED TO WAIT A LONG--PAID UNOFFICIALLY--IN HOSPITAL
L72.4,EXPECTED BETTER QUALITY--PAID UNOFFICIALLY--IN HOSPITAL
L72.5,WANTED TO THANK--PAID UNOFFICIALLY--IN HOSPITAL
L72.6,OTHER REASON--PAID UNOFFICIALLY--IN HOSPITAL
L73,PAID BEFORE OR AFTER SERVICE?
L74,WHEN DID FIND OUT ABOUT THE AMOUNT
L75,WHO DETERMINED THE AMOUNT?--IN HOSPITAL
L76,APPLIED FOR DENTAL CARE L3M?--IN HOSPITAL
L77.1,APPLIED FOR DENTAL CARE IN STATE HOSPITAL L3M
L77.2,APPLIED FOR DENTAL CARE IN AN INSTITUTIONAL HOSPITAL L3M
L77.3,APPLIED FOR DENTAL CARE IN A COMMERCIAL HOSPITAL L3M
L78.1A,PAID OFFICIALLY FOR DENTAL CARE L3M
L78.1B,PAID OFFICIALLY FOR DENTAL CARE L3M--AMOUNT
L78.2A,PAID UNOFFICIALLY FOR DENTAL CARE L3M
L78.2B,PAID UNOFFICIALLY FOR DENTAL CARE L3M--AMOUNT
L78.3A,GIFTS FOR DENTAL CARE L3M
L78.3B,GIFTS FOR DENTAL CARE--AMOUNT
L26,MEDICAL CHECK-UP IN LAST 3 MONTHS?
L79.1A,PAID OFFICIALLY FOR CHECKUP L3M
L79.1B,PAID OFFICIALLY FOR CHECKUP L3M--AMOUNT
L79.2A,PAID UNOFFICIALLY FOR CHECKUP L3M
L79.2B,PAID UNOFFICIALLY FOR CHECKUP L3M--AMOUNT
L79.3A,GIFTS FOR CHECKUP L3M
L79.3B,GIFTS FOR CHECKUP AMOUNT
L91,WHERE TO GET NECESSARY MEDICAL SERVICES FOR OFFICIAL PRICES
L53,HAVE A REGULAR PHYSICIAN?
L54,HAVE A DOCTOR IF NECESSARY?
L92,NAME THE MEDICAL INSTITUTION
L93,A MEDICAL INSTITUTION IN WHICH YOU ARE CONSTANTLY SERVED
L94,WHAT MEDICAL INSTITUTION IT IS
L95,CHANGE THE MAIN MEDICAL INSTITUTION IN WHICH YOU ARE CONSTANTLY SERVED IN THE LAST 2 YEARS
L96,CHANGED THE MEDICAL INSTITUTION ACCORDING TO
L97.1,WHY DID YOU CHANGE THE MEDICAL INSTITUTION? THE FIRST REASON
L97.2,WHY DID YOU CHANGE THE MEDICAL INSTITUTION? THE SECOND REASON
L98,CHANGE A GENERALLY DOCTOR IN THE LAST 2 YEARS
L99,CHANGED DOCTOR ACCORDING TO
L100,EVER HAVE ADDRESS TO THE DOCTOR IN CONNECTION WITH DISEASE IN THE LAST 2 YEAR
L101,CASES OF ADDRESSING TO THE DOCTOR IN THE LAST 2 YEARS
L102,CASES OF ADDRESSING TO THE DOCTOR IN THE LAST 2 YEARS APPROXIMATELY
L103.1A,AMONG ALL CASES OF THE ADDRESS TO DOCTORS YOU CHOOSE DOCTORS IN THE LAST 2 YEARS
L103.1B,TIMES WHEN YOU CHOOSE DOCTORS IN THE LAST 2 YEARS
L103.2A,AMONG ALL CASES OF THE ADDRESS TO DOCTORS YOU CHOOSE MEDICAL INSTITUTION IN LAST 2 YEARS
L103.2B,TIMES WHEN YOU CHOOSE MEDICAL INSTITUTION IN THE LAST 2 YEARS
L104.1,HOW DO YOU ACCOUNT CASES WHEN YOU CHOOSE A MEDICAL INSTITUTION OR A DOCTOR THE FIRST OPINION
L104.2,HOW DO YOU ACCOUNT CASES WHEN YOU CHOOSE A MEDICAL INSTITUTION OR A DOCTOR THE SECOND OPINION
L129,CHOOSE A DOCTOR OR HOSPITAL FOR А CHILD IN THE LAST 2 YEARS
L130,HOW MANY SUCH CASES DID YOU HAVE FOR LAST 2 YEARS
L105,THE LAST CASE IN THE LAST TWO YEARS WHEN YOU HAD TO CHOOSE A DOCTOR
L106,WHY YOU HAD TO CHOOSE A GENERAL PRACTITIONER
L107,WHY YOU HAD TO CHOOSE A SPECIALIST
L108,HOW YOU MADE THE CHOICE?
L109.1,RECOMMENDATIONS OF THE DOCTOR USED TO CHOOSE A DOCTOR
L109.2,RECOMMENDATIONS OF THE OTHER MEDICAL WORKERS USED TO CHOOSE A DOCTOR
L109.3,RECOMMENDATIONS OF MEDICAL WORKERS AMONG RELATIVES USED TO CHOOSE A DOCTO
L109.4,"DOCTOR RECOMMENDATIONS OF THE OTHER RELATIVES, NOT MEDICAL WORKERS USED TO CHOOSE"
L109.5,"ADVERTISING IN THE NEWSPAPER, ON TV USED TO CHOOSE A DOCTOR"
L109.6,ADVERTISING ON THE INTERNET USED TO CHOOSE A DOCTOR
L109.7,OTHER SOURCES OF INFORMATION USED TO CHOOSE A DOCTOR
L110,WANTED WHEN YOU CHOSE TO WHOM_WHERE TO ADDRESS
L112,GET THE AID FROM THIS DOCTOR
L113.1,WHY DID YOU CHOOSE THAT DOCTOR - THE FIRST REASON
L113.2,WHY DID YOU CHOOSE THAT DOCTOR - THE SECOND REASON
L114,CASES WHEN YOU NEED IN OPERATION IN THE LAST 3 YEARS
L115,POSSIBILITY TO ADDRESS TO THE HOSPITAL
L116,HOSPITALIZE IN THE HOSPITAL IN THE LAST 3 YEARS
L117,TIMES IN THE LAST 3 YEARS WHEN YOU WERE IN HOSPITAL
L118,PERSONALLY CHOSE AMONG TWO OR MORE HOSPITALS IN THE LAST 3 YEARS
L119,TIMES WHEN PERSONALLY CHOSE HOSPITAL IN THE LAST 3 YEARS
L120.1,WHY YOU DID NOT CHOOSE HOSPITAL - THE FIRST REASON
L120.2,WHY YOU DID NOT CHOOSE HOSPITAL - THE SECOND REASON
L121,PLANNED HOSPITALIZATION WHEN YOU HAD TO CHOOSE A HOSPITAL IN THE LAST 3 YEARS
L122,GOT A DIRECTION ON THIS HOSPITALIZATION
L123.1,KNOW ABOUT HOSPITALIZATION FROM OPTIONS OF THE HOSPITALIZATION WERE OFFERED THE DOCTOR
L123.2,"KNOW ABOUT HOSPITALIZATION FROM ADVERTISING IN THE NEWSPAPER, ON TV"
L123.3,KNOW ABOUT HOSPITALIZATION FROM THE MEDICAL WORKERS AMONG RELATIVES
L123.4,"KNOW ABOUT HOSPITALIZATION FROM THE OTHER RELATIVES, NOT MEDICAL WORKERS"
L123.5,KNOW ABOUT HOSPITALIZATION FROM THE RECOMMENDATIONS OF MEDICAL WORKERS FR THE MEDICAL INSTITUTIONS
L123.6,KNOW ABOUT HOSPITALIZATION FROM ADVERTISING ON THE INTERNET
L123.7,KNOW ABOUT HOSPITALIZATION FROM OTHER SOURCES
L124,WANTED WHEN YOU CHOSE A HOSPITAL
L125,CHOOSING HOSPITAL
L126.1,WHY DID YOU CHOOSE THAT HOSPITAL? - THE FIRST REASON
L126.2,WHY DID YOU CHOOSE THAT HOSPITAL? - THE SECOND REASON
L127,GET THE AID IN THIS HOSPITAL
M2,SELF-REPORTED HEIGHT (CM)
M2.1,WEIGHT CHANGE IN LAST YEAR
M2.11,HOW HAS YOUR WEIGHT CHANGED IN THE COURSE OF THE LAST TWO YEARS?
M3,HEALTH EVALUATION
M4,DIFFICULTY IN RUNNING 1 KM
M5,DIFFICULTY IN WALKING 1 KM
M6,DIFFICULTY IN WALKING 200 M
M7,DIFFICULTY WALKING ACROSS A ROOM
M8,DIFFICULTY IN SITTING FOR 2 HOURS
M9,DIFFICULTY STANDING AFTER SITTING
M10,DIFFICULTY GETTING UP FROM BED
M11,DIFFICULTY CLIMBING MANY STAIRS
M12,DIFFICULTY CLIMBING ONE FLIGHT
M13,DIFFICULTY LIFTING 5 KG
M14,DIFFICULTY SQUATTING_CROUCHING
M15,DIFFICULTY IN BATHING_SHOWERING
M16,DIFFICULTY IN EATING
M17,DIFFICULTY IN DRESSING
M18,DIFFICULTY IN COMBING HAIR
M19,DIFFICULTY IN USING TOILET
M20,NEEDS HELP IN DRESSING_EATING?
M20.1,PHYSICAL DIFFICULTY--SHOPPING--M20.1
M20.2,PHYSICAL DIFFICULTY--COOKING--M20.2
M20.3,PHYSICAL DIFFICULTY--TRAVELLING--M20.3
M20.4,DIFFICULTY IN MONEY ACCOUNTING--M20.4
M20.5,DIFFICULTY IN USING TELEPHONE--M20.5
M133,"WHAT IT MEANS ""TO BE HEALTHY?"""
M134,WHAT IT MEANS
M135,ANY PROBLEMS WITH MOBILITY
M136,ANY PROBLEMS TAKING CARE OF YOURSELF
M137,YOUR HEALTH ALLOW YOU TO CARRY OUT YOUR ROUTINE CHORES AND DUTIES?
M138,FEEL ANY PAIN?
M139,FEEL ANY ANXIETY OR DEPRESSION?
M20.61,CHRONIC HEART DISEASE?
M20.61B,CHRONIC HEART DISEASE--YEAR
M20.61C,CHRONIC HEART DISEASE--CAUSE
M20.62,CHRONIC LUNG DISEASE?
M20.62B,CHRONIC LUNG DISEASE--YEAR
M20.62C,CHRONIC LUNG DISEASE--CAUSE
M20.63,CHRONIC LIVER DISEASE?
M20.63B,CHRONIC LIVER DISEASE--YEAR
M20.63C,CHRONIC LIVER DISEASE--CAUSE
M20.64,CHRONIC KIDNEY DISEASE?
M20.64B,CHRONIC KIDNEY DISEASE--YEAR
M20.64C,CHRONIC KIDNEY DISEASE--CAUSE
M20.65,CHRONIC STOMACH DISEASE?
M20.617,A DISEASE OF THE SKIN
M20.618,CANCER
M20.619,AN UROGENITAL SYSTEM DISEASE
M20.67,OTHER CHRONIC DISEASE?
M20.67B,OTHER CHRONIC DISEASE--YEAR
M20.67C,OTHER CHRONIC DISEASE--CAUSE
M20.7,ASSIGNED TO DISABILITY CLASS.?
M20.8,DIABILITY CLASSIFICATION
M20.9M,REGISTERED AS DISABLED--MONTH
M20.9Y,REGISTERED AS DISABLED--YEAR
M21,HH MEMBERS HELP DRESS_EAT?
